STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
112;Bún đậu mắm tôm;(Vermicelli with fried tofu and shrimp paste);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_53.webp;980.6;40.1;47.5;98.1;99.0;;;508.5;11.4;3.7;158.9;37.5;142.6;1029.9;118.3;;
113;Bún cá;(Fish noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_52.webp;370.5;29.5;9.2;42.5;125.2;;;205.4;2.5;0.7;726.0;4.4;23.9;1427.2;85.9;;
114;Nộm bò khô;(Dried beef salad);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_51.webp;397.6;30.4;19.4;25.1;148.8;;;103.3;6.2;3.0;2522.9;133.3;122.4;1143.4;67.8;;
115;Nộm bò khô;(Dried beef salad);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_50.webp;349.0;30.3;18.9;13.6;67.2;;;120.5;4.7;1.4;32.7;17.6;131.4;797.7;47.2;;
116;Nem nướng (5 cái);(Grilled pork rolls (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_49.webp;162.0;25.0;4.3;5.8;5.4;;;44.8;1.9;5.1;228.1;40.5;22.0;28.4;4.5;;
117;Khoai tây chiên;(French fries);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_48.webp;216.1;2.7;9.4;30.1;0.6;;;13.7;1.6;0.4;9.6;;43.8;6.9;13.7;;
118;Đùi gà rán;(Fried chicken thigh);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_47.webp;287.2;14.9;21.9;7.6;12.8;;;17.9;0.8;1.4;93.4;;10.3;57.3;3.4;;
119;Cốm Huy Linh;(Huy Linh young green rice);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_46.webp;1496.0;30.5;4.0;334.5;;;;120.0;5.0;;;;;;;;
120;Chân gà nướng muối;(Grilled chicken feet with salt);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_45.webp;162.2;6.4;9.7;12.4;34.2;;;71.7;3.1;0.8;174.3;;48.3;394.5;20.5;;
121;Chân gà nướng mắm (5 cái);(Grilled chicken feet with fish sauce (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_44.webp;175.5;9.9;8.6;14.6;36.1;395.9;22.2;80.1;3.5;0.9;1561.9;;54.8;;;;
122;Chân gà nướng (5 cái);(Grilled chicken feet (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_43.webp;162.0;12.4;8.0;10.1;103.5;;;176.4;5.4;0.5;490.1;;11.7;1199.8;9.3;;
123;Chân gà nướng;(Grilled chicken feet);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_42.webp;128.2;7.0;8.9;5.1;78.7;;;43.7;1.4;0.6;560.6;;27.8;912.9;26.8;;
124;Chả cá thăng long chảo;(Pan-fried Thang Long fish);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_41.webp;782.0;54.0;17.1;103.0;346.0;;;657.4;4.0;1.4;2054.3;;332.5;4143.5;132.3;;
125;Cánh gà nướng;(Grilled chicken wings);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_40.webp;739.0;64.1;51.2;5.5;111.4;;;138.4;6.5;5.0;554.6;;28.5;916.2;31.0;;
126;Kem trứng;(Egg ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_39.webp;218.9;8.9;16.0;9.9;465.7;;;77.1;4.8;2.5;53.9;960.0;56.6;42.2;;;
127;Kem sữa dừa;(Coconut milk ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_38.webp;139.2;2.2;5.9;19.3;67.2;;;84.0;0.2;0.2;42.0;;9.8;;;;
128;Kem khoai môn;(Taro ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_37.webp;141.2;2.3;6.0;19.6;68.2;;;85.2;0.2;0.2;42.6;;9.9;;;;
129;Kem socola;(Chocolate ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_36.webp;134.9;2.2;6.0;18.1;68.8;3.8;;75.8;0.3;0.3;42.2;;12.1;;;;
130;Kem sầu riêng;(Durian ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_35.webp;137.2;2.2;5.8;19.0;66.2;;;82.8;0.1;0.2;41.4;;9.7;;;;
131;Kem ốc quế vani;(Vanilla cone ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_34.webp;180.0;3.1;6.6;27.1;61.9;;;78.7;0.4;0.2;37.2;;8.7;9.8;;;
132;Kem ốc quế cacao;(Cocoa cone ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_33.webp;195.2;3.4;8.1;27.2;80.5;;;70.8;0.8;0.4;46.4;;17.7;21.3;;;
133;Kem đậu xanh;(Mung bean ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_32.webp;139.2;2.2;5.9;19.3;67.2;;;84.0;0.2;0.2;42.0;;9.8;;;;
134;Kem cốm;(Young green rice ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_31.webp;139.2;2.2;5.9;19.3;67.2;;;84.0;0.2;0.2;42.0;;9.8;;;;
135;Kem cacao;(Cocoa ice cream);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_30.webp;161.2;2.7;7.8;20.0;90.9;;;0.7;0.4;54.0;;20.6;;13.5;77.4;;
136;Tào phớ truyền thống;(Traditional tofu pudding);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_29.webp;83.8;4.3;0.4;15.8;;;;171.6;0.6;;61.5;;70.9;;;;
137;Hoa quả dầm;(Mixed fruit bowl);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_28.webp;297.2;6.2;6.1;54.3;198.1;;;234.0;3.1;1.2;83.5;14.6;53.5;1687.7;101.8;;
138;Chè xoài;(Mango sweet soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_27.webp;151.9;3.1;2.3;29.7;49.2;;;109.4;0.8;0.9;34.8;7.8;41.7;373.8;25.8;;
139;Chè thập cẩm;(Mixed sweet soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_26.webp;442.0;13.3;6.2;83.3;1.1;;;144.5;7.9;1.9;19.1;0.6;151.4;13.5;1.2;;
140;Chè khúc bạch;(Almond milk jelly dessert);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_25.webp;284.5;8.2;13.9;31.6;51.8;;;187.6;1.0;1.1;389.1;42.0;70.8;22.0;21.3;;
141;Caramen;(Caramen);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_24.webp;77.4;3.7;2.9;9.1;;;;59.0;0.7;0.3;;;;;;;
142;Caramen hoa quả;(Fruit caramel pudding);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_22.webp;136.7;5.9;4.2;18.8;14.2;;;91.4;1.7;0.6;2.3;;7.1;157.5;6.1;;
143;Burger Cheesy;(Burger Cheesy);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_21.webp;832.6;50.2;46.4;53.5;102.3;;;376.8;9.8;5.6;965.5;122.0;90.1;421.5;18.1;;
144;Burger BBQ;(Burger BBQ);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_20.webp;754.8;55.1;35.4;53.9;111.4;;;379.4;10.6;6.1;1152.6;135.6;94.7;524.0;22.4;;
145;Cơm suất (cá, trứng, thịt);(Set meal (scad fish, egg and pork belly));https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/com_suatcatrungthit_hp.webp;799.7;41.7;36.7;75.7;494.7;;;295.2;7.3;5.6;3615.7;65.1;130.5;5253.8;43.9;;
146;Bánh bột lọc;(Tapioca dumplings);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_19.webp;681.0;14.5;32.8;82.0;142.3;;;102.6;3.9;0.3;1429.3;24.6;42.0;1655.4;58.9;;
147;Cơm rang thập cẩm;(Fried rice with meat and vegetables);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/com_rang_thap_cam_hp2.webp;1068.1;59.2;56.5;80.6;109.7;;;193.9;9.4;3.4;1823.6;60.8;55.3;612.2;4.4;;
148;Bánh bột lọc;(Tapioca dumplings);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_18.webp;449.3;10.3;19.4;58.4;208.8;;;112.0;2.8;0.6;1116.7;16.1;48.7;2157.7;46.6;;
149;Bánh trôi tàu;(Black sesame glutinous rice balls in ginger syrup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_17.webp;255.9;5.3;6.0;45.2;0.2;;;75.9;1.7;0.9;5.1;0.6;40.4;2.4;0.4;;
150;Bánh trôi;(Floating rice balls);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_16.webp;355.3;7.0;9.3;60.9;0.3;;;93.4;3.7;1.4;6.5;0.6;60.0;3.0;0.7;;
151;Bánh tôm (5 cái);(Shrimp fritters (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_15.webp;587.5;21.6;18.2;84.3;100.7;;;148.9;3.9;3.1;2590.6;71.1;252.1;1007.3;58.9;;
152;Bánh tôm;(Shrimp fritters);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_14.webp;558.0;20.4;19.6;75.0;79.8;;;82.8;1.6;0.9;36.6;77.0;76.2;920.4;28.0;;
153;Bánh tôm;(Shrimp fritters);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_13.webp;553.1;20.2;18.4;76.8;144.1;;;140.6;3.8;3.2;1049.6;71.5;225.9;1439.5;38.7;;
154;Bánh cuốn nhân thịt;(Steamed rice rolls with minced pork filling);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_12.webp;476.8;24.0;22.2;45.1;25.4;;;63.7;3.5;2.2;5.7;18.0;31.2;296.4;9.0;;
155;Bánh cuốn nóng;(Hot steamed rice rolls);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_11.webp;761.2;35.9;31.7;83.2;236.3;1143.6;96.0;159.7;5.5;4.5;1444.0;283.7;136.4;;;;
156;Bánh cuốn chả bà hoành;(Steamed rice rolls with pork sausage (Ba Hoanh style));https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_10.webp;762.7;26.2;31.0;94.7;55.1;;;147.7;11.1;3.1;2496.2;;110.0;644.5;47.7;;
157;Bánh cuốn;(Steamed rice rolls);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_9.webp;444.8;13.8;21.0;50.1;8.1;;;58.6;2.6;0.7;684.8;20.3;40.5;89.6;18.1;;
158;Bánh mỳ sốt vang;(Red wine beef stew baguette);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_8.webp;527.7;46.6;21.9;36.0;45.6;;;58.0;8.3;0.1;5.7;;4.2;488.9;19.4;;
159;Bánh mỳ pate trứng chả;(Pâté, egg, and pork sausage baguette);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_6.webp;359.5;20.1;11.3;44.5;712.0;;;54.5;3.3;1.4;388.0;275.8;22.2;180.7;14.3;;
160;Bánh mỳ pate trứng;(Pâté and egg baguette);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_5.webp;351.5;20.3;10.7;43.5;716.2;;;48.9;3.2;1.2;556.7;274.0;21.7;334.5;8.7;;
161;Bánh mỳ gà quay;(Roasted chicken baguette);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_4.webp;358.6;22.5;12.1;39.9;91.5;;;66.2;2.7;2.1;92.3;;17.2;471.4;10.2;;
162;Bánh mỳ bít tết;(Steak baguette);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_3.webp;997.0;47.3;43.0;105.2;842.0;;;108.6;11.4;3.2;785.2;423.8;192.2;292.7;35.7;;
163;Bánh mì thập cẩm;(Mixed Vietnamese baguette);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_1.webp;678.8;30.6;40.5;48.1;775.3;;;49.2;5.7;0.8;173.4;159.3;78.1;27.4;1.4;;
164;Cơm rang thập cẩm;(Fried rice with meat and vegetables);https://viendinhduong.vn/storage/app/uploads/public/2025/10/29/com_rang_thap_cam_hp.webp;836.1;41.3;40.1;77.5;208.1;;;153.4;6.7;4.4;145.2;498.9;91.0;1035.2;3.8;;
165;Cơm rang dưa bò;(Fried rice with beef and pickles);https://viendinhduong.vn/storage/app/uploads/public/2025/10/29/com_rang_dua_bo_hp.webp;675.5;33.8;27.9;72.3;127.0;;;140.8;5.3;4.2;30.1;27.4;23.7;115.0;7.1;;
166;Cháo trai sườn;(Rice congee with mussel and pork rib meat);https://viendinhduong.vn/storage/app/uploads/public/2025/10/29/chao_trai_suon_hp.webp;339.0;14.1;11.8;44.1;6.6;;;44.8;0.9;1.8;124.0;21.6;18.0;1.1;3.6;;
167;Cháo sườn;(Pork bone congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/28/chao_suon_hp.png;574.7;29.6;255.0;56.7;3.7;;;62.3;2.2;6.1;;88.0;41.0;44.6;4.6;87.0;
168;Cháo lòng;(Pork organ congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_long_hp3.png;257.9;21.9;10.0;20.1;747.4;;;49.1;29.3;2.2;494.1;119.8;22.4;150.4;11.0;;
169;Cháo lòng;(Pork organ congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_long_hp2.png;291.1;21.7;12.7;22.5;1335.4;;;81.5;11.0;2.9;1631.9;132.8;63.3;721.4;32.5;;
170;Cháo lòng;(Pork organ congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_long_hp.png;500.2;36.7;25.0;32.1;869.5;;;78.8;41.9;3.6;168.4;194.2;30.8;294.7;11.7;;
171;Cháo khoái;(Rice and spinach porridge with mung bean patse);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_khoai_hp.png;195.7;8.2;5.9;27.4;4.0;;;20.0;1.1;1.1;12.1;10.4;44.1;48.0;2.5;;
172;Cháo gà;(Chicken congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_ga_hp.png;375.9;26.1;4.6;57.6;31.6;;;129.8;11.8;3.1;18.7;0.0;36.3;278.7;10.1;;
173;Cháo ếch;(Frog congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_ech_hp.png;571.8;66.2;4.4;66.8;102.8;;;150.9;6.5;3.9;1041.0;154.0;89.4;784.7;34.7;;
174;Cháo đỗ xanh;(Mung bean congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_do_xanh_hp.png;244.6;3.8;0.6;56.0;0.0;;;23.0;0.5;0.6;1.8;0.0;5.1;0.0;0.0;;
175;Cháo lươn cay;(Spicy eel porridge);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_luon_cay_hp.png;174.1;7.1;3.1;29.5;300.4;;;30.0;1.2;0.9;12.5;26.5;10.9;110.9;3.5;;
176;Xôi xéo;(Sticky rice with mung bean);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/xoi_xeo2.png;723.9;18.8;29.1;96.6;0.5;;;39.3;2.7;4.1;193.6;25.3;117.5;6.3;2.1;;
177;Xôi xéo;(Sticky rice with mung bean);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/xoi_xeo.png;588.0;15.4;9.3;110.7;2.4;;;42.3;2.8;3.2;10.7;0.0;74.9;29.0;3.6;;
178;Xôi chè bà cốt;(Ms.Cot's Sticky rice with sweet soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/xoi_che_ba_cot.png;476.8;15.2;2.6;98.1;0.7;;;55.6;2.7;2.5;310.4;0.0;96.2;8.7;1.2;;
179;Cháo trai;(Clam rice porridge);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_trai_hn2.png;498.0;27.7;17.2;58.1;162.3;;;1194.4;3.5;3.7;259.6;87.4;38.4;48.8;4.1;;
180;Cháo trai;(Clam rice porridge);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_trai.png;383.5;17.0;12.7;50.4;126.2;;;977.9;2.9;2.9;215.5;51.7;28.3;2.1;3.1;;
181;Cháo tim;(Heart congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_tim_hn.png;327.2;16.3;4.3;55.7;41.2;;;72.5;5.1;5.4;53.0;88.4;28.0;422.3;7.4;;
182;Cháo sườn sụn;(Rice congee with pork cartilage);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_suon_sun_hn.png;420.1;25.0;17.7;40.3;4.5;;;21.8;0.8;2.1;347.3;43.6;24.8;53.5;2.3;;
183;Cháo sườn lợn;(Pork rib congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_suon_lon_hn.png;458.1;20.2;18.1;53.6;4.1;;;16.6;0.7;1.9;159.5;31.2;16.2;48.8;2.1;;
184;Cháo sườn;(Pork bone congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_suon_hn2.png;358.6;18.6;13.7;40.2;4.4;;;19.1;0.6;1.2;308.2;21.6;20.6;53.3;2.3;;
185;Cháo sườn;(Pork bone congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_suon_hn.png;332.9;11.0;11.2;47.0;5.9;;;17.7;0.7;1.5;18.1;16.7;10.2;70.3;3.1;;
186;Cháo lòng;(Pork organ congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_long_hn4.png;358.5;37.3;9.0;32.0;4023.0;;;146.0;20.4;6.1;2211.3;359.9;105.0;3258.4;40.1;;
187;Cháo lòng;(Pork organ congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_long_hn3.png;262.4;18.7;6.7;31.7;1267.3;109.2;6.4;46.8;12.5;2.7;83.5;98.4;14.0;;;;
188;Cháo lòng;(Pork organ congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_long_hn2.png;313.8;19.2;5.7;46.4;945.0;;;52.0;9.3;2.8;73.8;115.6;15.7;27.2;2.5;;
189;Cháo lòng;(Pork organ congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_long_hn.png;362.6;23.7;5.8;53.9;1099.2;;;324.5;5.8;3.3;1143.6;138.6;58.3;967.0;77.5;;
190;Cháo gà;(Chicken congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_ga_hn2.png;371.4;20.1;12.2;45.2;166.0;991.6;15.1;76.0;2.3;1.9;54.3;52.1;45.3;;;;
191;Cháo gà;(Chicken congee);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/chao_ga_hn.png;587.4;33.7;22.0;63.6;159.2;;;56.0;2.7;2.8;91.0;93.8;46.3;110.0;5.0;;
192;Miến ngan trộn;(Vermicelli mixed with goose);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/mien_ngan_tron_hp.png;802.7;40.1;43.0;63.9;60.7;;;243.6;8.9;3.4;4277.3;2.5;71.5;702.0;62.4;;
193;Miến ngan nước;(Vermicelli soup with muscovy duck);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/mien_ngan_nuoc_hp.png;588.4;27.9;18.9;65.4;31.4;;;160.0;5.4;2.0;557.0;4.0;18.1;365.9;23.1;;
194;Miến gà trộn;(Vermicelli mixed with chicken);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/mien_ga_tron_hp.png;452.3;18.2;12.7;66.3;37.0;320.3;15.8;132.5;9.4;1.8;1230.0;47.0;48.5;;;;
195;Mỳ vằn thắn;(Wheat noodle with Wonton soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_van_than_hp3.png;392.6;24.2;18.8;31.6;1467.2;;;131.8;5.7;3.8;861.8;209.2;96.1;673.8;31.1;;
196;Mỳ trọn bò;(Wheat noodle mixed with beef);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_tron_bo_hp.png;670.2;36.9;23.4;78.0;76.4;815.5;20.4;65.7;3.8;3.9;1722.1;56.0;35.6;;;;
197;Mỳ trộn;(Wheat noodle mixed with wonton, meat and vegetables);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_tron_hp.png;703.5;23.6;22.0;102.8;126.0;556.9;14.5;67.7;3.6;1.9;3298.8;49.4;55.7;;;;
198;Mỳ chờ thập cẩm;(Wheat noodle soup with wonton and pork);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_cho_thap_cam_hp.png;613.0;27.4;21.7;77.0;1103.1;;;163.1;6.7;3.2;639.2;84.3;43.9;666.6;43.3;;
199;Mỳ chờ;(Wheat noodle soup with wonton);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_cho_hp.png;645.0;26.1;20.5;89.0;1221.1;;;131.4;6.0;2.4;895.0;98.5;51.1;481.7;20.2;;
200;Mỳ vằn thắn Thắng Huyền;(Thang Huyen's Wheat noodle with Wonton soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_van_than_thang_huyen.png;540.0;31.0;18.0;63.5;2153.1;;;145.6;7.3;4.5;933.0;216.0;66.4;2904.0;45.0;;
201;Mỳ tim cật;(Wheat noodle soup with mixed pork organs);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_tim_cat2_hn.png;517.5;34.1;15.5;60.4;3226.9;;;141.1;12.7;6.0;3218.1;316.2;316.2;627.1;54.4;;
202;Miến ngan;(Muscovy duck vermicelli);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/mien_ngan_hn.png;519.3;15.0;20.0;69.9;86.8;1038.8;27.0;172.9;5.2;2.6;442.6;3.1;70.8;;;;
203;Miến lươn (nước);(Vermicelli soup with eel);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/mien_luon.png;447.8;14.1;9.4;76.6;768.2;;;146.4;2.3;1.2;1197.1;56.6;23.0;205.3;30.2;;
204;Hủ tiếu Nam vang nước;(Phnom Penh-style noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/hu_tieu_nam_vang_nuoc_hn.png;482.6;31.5;17.0;50.9;1080.6;;;175.3;6.8;3.9;1596.0;326.5;50.4;697.4;56.9;;
205;Bánh canh ghẹ;(Crab thick noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/banh_canh_ghe_hn.png;337.8;22.4;9.0;41.7;137.8;;;106.6;12.0;2.8;205.6;252.7;38.0;644.2;23.8;;
206;Cơm tẻ miệng bát;(Broken rice with pork and shrimp paste);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/com_te_mieng_bat.png;258.0;5.7;0.8;57.2;0.0;181.0;;23.0;1.0;1.1;4.0;0.0;;0.0;0.0;;
207;Trứng gà rán ngải cứu;(Wormwood Fried Eggs);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/trung_ga_ran_ngai_cuu_hp.png;114.6;6.9;8.8;2.0;77.3;153.0;0.0;34.1;0.8;;;195.1;15.8;;;24.5;
208;Phở xào mềm;(Stir-fried rice noodles);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_xao_mem.png;728.6;27.3;18.3;113.7;289.2;;;255.6;7.7;3.5;;36.7;66.0;3470.4;68.4;739.8;
209;Phở trộn;(Mixed Pho);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_tron_hp.png;490.2;42.2;8.5;61.3;53.8;;;135.9;4.3;6.1;;52.8;111.2;629.2;42.1;1110.4;
210;Phở Trâu;(Noodle soup with buffalo meat);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_trau2_hp.png;572.7;36.6;14.3;74.4;125.2;;;148.6;4.7;2.4;;56.6;70.8;1428.3;42.4;1102.2;
211;Phở tái bò;(Noodle soup with eye round steak and meat balls);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_tai_bo_hp.png;528.8;50.6;5.6;69.1;25.5;;;138.3;4.6;8.0;;75.1;69.9;268.1;26.5;877.2;
212;Phở sốt vang;(Pho with beef stew in red wine);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_sot_vang_hp.png;660.6;52.5;14.2;80.7;434.6;;;109.6;7.1;3.5;;27.7;30.9;4254.5;16.6;365.0;
213;Phở gà chặt;(Chopped chicken pho);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_ga_chat_hp.png;414.7;17.9;13.5;55.4;54.5;;;78.9;1.5;0.7;;5.4;8.9;353.8;20.1;786.6;
214;Phở chiên phồng;(Fried Pho Noodle);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_chien_phong_hp.png;773.7;40.7;27.7;90.6;101.8;;;169.5;5.0;7.0;;53.2;72.1;1125.0;82.9;776.9;
215;Phở bò tái;(Noodle soup with eye round steak);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_bo_tai_hp.png;431.7;21.5;6.7;71.2;21.9;;;87.6;2.8;4.9;;25.0;22.5;252.4;19.3;1613.2;
216;Phở bò chín;(Noodle soup with brisket & meat balls);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_bo_chin2_hp.png;448.5;31.2;6.7;65.7;94.5;;;136.7;3.9;4.7;;40.6;54.6;1119.5;40.3;2624.2;
217;Bún tôm;(Shrimp noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_tom4_hp.png;422.7;16.8;13.0;59.6;192.2;192.2;67.9;273.6;11.6;2.5;;79.8;56.6;;;362.0;
218;Bún rươi;(Rice vermicelli with freshwater crab);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_ruoi_hp.png;371.4;13.8;6.7;64.1;108.1;;;171.0;3.6;0.5;;11.7;16.1;1247.3;25.4;562.8;
219;Bún riêu cua sườn sụn;(Crab and Pork Rib Noodle Soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_rieu_cua_suon_sun_hp.png;582.9;38.7;38.7;68.1;269.1;;;1164.8;2.7;3.2;;46.3;116.2;3201.3;71.2;1331.0;
220;Bún riêu cua;(Crab noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_rieu_cua_hp.png;497.5;19.5;19.6;60.9;111.3;;;252.0;3.9;2.1;;43.2;67.7;1204.7;58.3;1374.9;
221;Bún ốc cô Mít;(Ms. Mit's Snail Noodle Soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_oc_co_mit_hp.png;659.4;41.1;26.1;65.1;197.5;;;2704.8;4.0;2.2;;20.7;67.2;2348.3;29.2;2286.0;
