STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
328;Hamburger Gà;(Chicken Humburger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_55.png;451.7;29.3;19.6;39.4;70.6;199.1;3.2;242.6;3.6;2.1;434.9;15.8;34.3;;;;
329;Hamburger Bò;(Beef Hamburger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_54.png;308.9;18.0;11.5;33.2;77.2;232.3;3.0;230.9;4.1;1.2;418.9;15.8;26.2;;;;
330;Burger Tôm;(Shrimp burger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_53.png;537.4;20.8;28.1;50.2;23.4;291.0;5.4;157.5;4.0;1.8;421.0;109.0;89.4;;;;
331;Burger gà;(Chicken Burger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_52.png;490.5;19.4;27.3;41.8;18.5;194.6;4.8;118.5;3.3;1.8;444.8;;26.4;;;;
332;Burger cá;(Fish Burger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_51.png;305.7;22.1;7.1;38.4;12.9;192.5;4.7;141.0;3.8;0.7;427.5;;25.6;;;;
333;Bánh gà Hồng Mai;(Hong Mai Chicken nugget);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_50.png;1603.0;81.5;129.0;29.0;53.5;216.7;6.7;91.4;6.1;7.9;236.0;189.0;48.2;;;;
334;Bánh trôi tàu;(Glutinous rice balls filled with mung bean patse and black sesame patse in syrup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_49.png;393.2;10.8;15.2;53.5;0.4;280.4;11.4;161.3;2.4;1.3;14.0;;77.0;;;;
335;Bánh tôm Hồ Tây;(Ho Tay crispy prawn fritters);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_48.png;479.8;17.9;16.6;64.8;130.2;423.3;1.3;122.0;3.4;2.8;84.1;64.6;186.7;;;;
336;Bánh cuốn Thanh Trì;(Rice pancake rolled with pork (Thanh Tri style));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_47.png;518.5;31.6;17.9;57.7;29.8;228.4;0.7;109.5;6.4;3.8;17.3;;42.7;;;;
337;Bánh mỳ Pate thập cẩm;(Banh my with Pate and mixed);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_46.png;662.1;26.2;42.5;43.6;601.3;344.5;12.9;51.6;4.2;2.5;458.8;71.5;64.3;;;;
338;Bánh mỳ pa tê trứng;(Banh my with Pate and fried egg);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_45.png;426.5;23.5;18.4;41.7;513.7;261.9;0.1;52.1;3.5;0.2;235.0;56.9;52.3;;;;
339;Bánh mỳ chảo lợn;(Banh my with pork served in frying pan);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_43.png;726.2;35.7;39.7;56.5;629.1;512.5;9.1;84.9;6.5;1.5;415.4;130.3;79.5;;;;
340;Bánh mỳ chảo bò;(Banh my with beef served in frying pan);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_42.png;686.5;37.4;34.9;55.7;615.4;288.1;1.0;87.8;8.0;2.3;693.1;125.5;97.1;;;;
341;Bánh mỳ bít tết;(Banh my with steak);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_41.png;920.0;44.5;34.0;109.0;649.3;1201.8;2.1;135.7;10.8;2.8;3308.3;296.6;143.4;;;;
342;Bánh mì chảo;(Banh my with bacon and sausage served in frying pan);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_40.png;708.4;38.3;26.9;78.4;1136.6;569.8;11.0;81.6;6.5;3.5;634.2;113.1;41.0;;;;
343;Xôi xíu;(Sticky rice with Char siu);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_39.png;1022.0;36.7;46.4;114.4;560.1;849.7;4.7;104.9;7.3;6.0;462.3;534.3;137.2;;;;
344;Xôi xéo thịt;(Sticky rice with braised pork belly and mung bean paste);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_38.png;676.1;23.2;14.8;112.6;7.3;798.6;6.4;56.1;3.6;4.1;608.2;31.8;92.4;;;;
345;Xôi thập cẩm;(Sticky rice with mixed meat and vegetables);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_37.png;1227.1;56.9;50.8;135.5;876.9;1045.2;12.6;143.0;15.3;7.4;144.9;177.1;161.4;;;;
346;Xôi cá rô đồng;(Sticky rice with shredded Tilapia fish);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_36.png;572.6;23.6;5.0;108.3;8.9;565.2;0.6;51.4;2.7;3.3;18.2;;40.1;;;;
347;Mỳ tim cật;(Wheat noodle soup with mixed pork organs);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_tim_cat2_hn.png;332.7;14.9;6.4;53.8;116.9;289.4;1.1;92.6;5.8;2.2;;154.9;11.8;;;1953.5;
348;Miến riêu cua (trộn);(Vermicelli mixed with fresh water crab paste);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_30.png;493.0;24.0;17.7;59.4;150.9;498.6;5.4;252.8;5.5;1.6;;31.9;62.0;;;988.3;
349;Miến riêu cua (nước);(Vermicelli soup with fresh water crab paste);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_29.png;461.2;22.5;17.6;53.2;188.0;521.6;3.7;289.5;5.7;1.5;;41.0;41.6;;;991.0;
350;Miến lươn trộn;(Vermicelli mixed with eel);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_27.png;308.8;8.5;6.1;54.9;421.8;197.8;5.6;75.7;1.9;0.8;;27.0;34.2;;;21.6;
351;Miến lươn nước;(Vermicelli soup with eel);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_26.png;338.2;8.9;7.0;59.9;386.7;267.2;4.6;104.8;2.5;1.1;;32.0;26.2;;;1357.0;
352;Hủ tiếu thịt bằm;(Rice noodle soup with minced pork);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_25.png;530.9;31.7;18.5;59.5;129.7;376.2;5.9;176.4;3.8;3.3;;240.5;31.4;;;2417.2;
353;Hủ tiếu Nam Vang;(Rice noodle soup with pork and shrimp (Nam Vang style));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_24.png;537.1;30.1;9.5;82.8;1116.1;554.5;6.3;161.1;6.0;4.0;;229.0;51.8;;;766.0;
354;Hủ tiếu đại dương;(Rice noodle soup with mixed seafood);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_23.png;572.1;47.4;18.9;53.1;128.5;587.9;6.9;248.7;5.2;2.7;;406.2;70.3;;;1961.7;
355;Bánh canh sườn heo;(Thick rice noodle soup with pork-rib);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_22.png;487.6;20.6;12.7;72.8;841.8;531.2;7.8;158.5;9.5;2.8;;74.7;34.9;;;1294.9;
356;Bánh canh ghẹ;(Thick rice noodle soup with flower crab);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_21.png;590.0;21.6;18.1;85.2;125.2;596.7;7.3;282.1;11.1;2.7;;229.7;76.4;;;1503.9;
357;Phở Thìn;(Pho Thin);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_20.png;873.0;42.0;41.4;83.1;70.9;680.1;;132.6;4.3;4.0;;88.0;64.3;;;3715.0;
358;Phở lõi bò;(Pho with Beef heel muscle);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_19.png;461.8;19.9;11.4;69.9;32.8;286.0;2.8;78.6;2.4;1.3;;35.0;23.0;;;727.0;
359;Phở gà trộn;(Pho mixed with chicken);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_18.png;524.6;30.4;14.6;68.0;148.9;462.6;10.1;101.3;3.9;2.2;;72.7;63.1;;;2607.6;
360;Bún nem cua bể;(Rice vermicelli with Hai Phong-style crab spring rolls);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_7.png;596.3;13.4;7.1;119.7;148.1;689.0;0.4;234.0;4.0;1.0;;100.3;147.5;;;3568.0;
361;Bún đậu mắm tôm, lòng lợn;(Rice vermicelli with tofu, fermented shrimp paste, and pork offal);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_6.png;914.9;42.2;36.0;105.7;24.8;490.1;10.1;310.8;11.6;2.9;;77.9;190.5;;;1394.5;
362;Cơm suất văn phòng ( Thịt nạc vai, đậu phụ);(Office Set Meal (Pork Shoulder & Tofu));https://viendinhduong.vn/storage/app/uploads/public/2025/07/17/screenshot_16.png;759.0;29.9;26.3;100.7;0.0;893.0;;151.0;5.2;6.1;2059.0;44.0;;5225.0;59.0;;
363;Cơn hến;(Baby Clam Rice);https://viendinhduong.vn/storage/app/uploads/public/2025/07/17/screenshot_14.png;291.0;18.0;6.3;40.1;0.0;473.3;;74.4;3.3;1.0;713.4;0.0;;33.4;12.4;;
364;Bánh đa cua;(Crab noodle soup with red rice noodles);https://viendinhduong.vn/storage/app/uploads/public/2025/07/17/screenshot_20.png;420.6;20.8;9.1;63.8;159.7;;;295.3;13.6;2.2;;67.9;66.3;1629.1;17.9;1914.6;
365;Bánh đa bò nhừ;(Crispy rice paper with tender beef);https://viendinhduong.vn/storage/app/uploads/public/2025/07/17/screenshot_21.png;407.3;32.0;8.6;50.6;7.9;;;71.3;2.8;4.3;;60.2;29.1;68.8;4.8;1632.5;
366;Bún bò Nam Bộ;(Southern-style Vietnamese Beef Vermicelli);https://viendinhduong.vn/storage/app/uploads/public/2025/07/17/screenshot_8.png;457.7;26.3;7.4;71.5;35.1;;;108.4;3.0;3.6;;30.7;85.0;410.8;29.4;1577.7;
367;Bún cá chấm;(Rice vermicelli with fried fish and dipping broth);https://viendinhduong.vn/storage/app/uploads/public/2025/07/17/screenshot_7.png;451.2;37.6;4.8;64.4;118.8;;;313.5;4.0;0.6;;1.1;41.8;1421.6;22.9;457.0;
368;Bánh đa đỏ trộn;(Red thick rice noodle mixed with meat and vegetables);https://viendinhduong.vn/storage/app/uploads/public/2025/07/17/screenshot_6.png;550.7;24.0;19.4;70.1;79.5;;;143.9;2.9;0.9;;10.8;45.0;942.0;20.1;389.8;
369;Vịt rang me;(Roasted duck with tamarind);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/258.PNG;656.2;33.7;53.7;9.5;604.2;575.6;42.9;108.2;4.9;3.2;;136.8;51.5;;;1702.3;
370;Phá lấu;(Offal stew);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/256.PNG;305.9;21.6;6.1;41.3;4.3;134.4;2.1;195.5;3.1;1.2;;86.9;34.8;;;1083.8;
371;Nem Thính;(Pork ear and pork belly mixed with roasted rice powder);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/254.PNG;612.3;44.8;25.2;51.7;92.5;591.3;17.8;127.0;5.5;2.7;;123.4;78.2;;;1206.0;
372;Lòng dồi sụn;(Pork Cartilage blood sausages);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/253.PNG;309.3;34.0;12.7;14.9;90.5;674.3;7.4;79.1;3.7;4.0;;217.7;92.5;;;638.8;
373;Giá bể xào;(Stir-fried Lamp Shell);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/252.PNG;308.7;39.0;3.2;31.1;26.4;82.3;0.1;844.2;0.2;;;;3.9;;;4.9;
374;Dồi sụn nướng;(Roasted pig small intestine);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/251.PNG;307.1;23.6;22.2;3.2;92.6;193.4;8.7;63.1;43.0;1.0;;32.5;21.4;;;1292.0;
375;Chim cút quay lá mắc mật (4 con);(Roasted bird with Dalzell oliv leaves);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/250.PNG;373.7;61.0;12.9;3.4;56.8;877.1;7.0;44.0;12.8;7.6;;196.0;74.5;;;152.0;
376;Ốc mỡ xào ngô;(Fried snail with maize seeds);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/248.PNG;420.9;42.1;10.7;39.1;11.4;275.1;5.2;5336.0;1.1;1.2;;16.9;45.3;;;936.9;
377;Ốc mít luộc mắm;(Boiled snail in fish sauce);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/247.PNG;158.3;17.6;1.2;19.3;9.5;82.8;;1999.5;0.6;0.2;;;19.7;;;804.0;
378;Ốc đá xào;(Stir fried snail);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/246.PNG;187.6;30.3;1.2;14.0;7.1;48.9;;4455.7;0.3;0.1;;;14.0;;;545.9;
379;Ốc bông xào me;(Stir-fried snail with tamarind sauce);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/245.PNG;488.7;38.6;23.8;30.1;2.3;419.2;0.8;5155.0;13.8;2.4;;;122.6;;;1850.3;
380;Ốc bông xào bơ trứng mặn;(Stir-fried snail with salted butter egg yolk sauce);https://viendinhduong.vn/storage/app/uploads/public/2025/04/15/244.PNG;575.5;19.9;40.7;32.4;544.7;512.5;28.5;86.5;2.7;2.5;;400.0;68.3;;;1942.0;
381;Ốc bé hấp;(Steamed small snail);https://viendinhduong.vn/storage/app/uploads/public/2025/12/08/screenshot_22.webp;232.4;36.7;2.1;16.7;0.4;42.7;;38.2;0.1;3.0;;;16.2;;;680.7;
382;Ngao trắng hấp;(Steamed white clams);https://viendinhduong.vn/storage/app/uploads/public/2025/12/08/screenshot_21.webp;226.2;27.5;2.2;24.1;0.4;42.7;;593.5;0.1;;;;16.2;;;680.7;
383;Thạch găng;(Randia jelly);https://viendinhduong.vn/storage/app/uploads/public/2025/12/08/screenshot_16.webp;175.5;5.9;0.3;37.3;;700.8;;268.0;2.8;1.8;;;207.7;;;27.9;
384;Sữa ngô;(Corn soup);https://viendinhduong.vn/storage/app/uploads/public/2025/12/08/screenshot_13.webp;123.8;4.3;2.5;21.0;;;;148.2;0.6;;;;30.8;;;;
385;Nước trà hoa cúc;(Daisy tea);https://viendinhduong.vn/storage/app/uploads/public/2025/12/08/screenshot_6.webp;18.3;0.1;;4.5;0.8;0.1;;22.8;;;;;;;;;
386;Kem trứng;(Curtard cream);https://viendinhduong.vn/storage/app/uploads/public/2025/12/08/screenshot_5.webp;390.8;10.4;22.1;37.5;504.6;88.2;8.3;69.7;4.8;1.9;;1056.4;7.3;;;172.1;
387;Chè dừa dầm;(Coconut dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/12/08/screenshot_4.webp;469.8;12.4;8.2;86.6;45.5;1136.5;1.5;445.0;3.9;1.6;;25.5;224.7;;;331.6;
388;Bì bò;(Spring roll with mixed beef and vegetables);https://viendinhduong.vn/storage/app/uploads/public/2025/04/08/223.PNG;994.4;86.1;24.8;106.7;153.6;1411.5;5.0;428.4;10.0;16.2;;86.2;89.0;;;175.9;
389;Bánh mỳ sốt trứng cút;(Banh my with sauced quail eggs);https://viendinhduong.vn/storage/app/uploads/public/2025/04/08/222.PNG;401.0;24.9;16.3;37.9;135.0;302.6;11.3;86.3;4.8;1.3;;375.1;106.3;;;1877.4;
390;Bánh mỳ nướng muối ớt;(Salt and pepper toast);https://viendinhduong.vn/storage/app/uploads/public/2025/04/08/221.PNG;428.9;16.2;19.8;46.4;6.6;170.5;3.7;37.3;2.2;0.6;;24.1;24.1;;;677.0;
391;Bánh mỳ thịt xiên mật ong;(Honey baked bread with BBQ pork skewers);https://viendinhduong.vn/storage/app/uploads/public/2025/04/08/220.PNG;336.3;14.3;19.1;26.8;6.9;271.3;7.4;41.9;2.0;1.8;;43.3;34.6;;;240.8;
392;Bánh mỳ chảo sốt ngọt;(Banh my with egg, pate and sausage with sweet sauce served in frying pan);https://viendinhduong.vn/storage/app/uploads/public/2025/04/08/219.PNG;713.6;24.8;30.2;85.6;377.2;834.3;4.4;69.4;3.9;1.1;;52.4;63.7;;;1851.2;
393;Bánh mì - xôi chảo;(Banh my with pate, sausage, egg and sticky rice with pandan leaves);https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/banh_mi_xoi_chao_hp.webp;995.8;41.4;62.6;66.7;645.4;642.2;9.0;92.9;6.3;2.0;;116.1;125.2;;;2261.9;
394;Bánh mỳ chả cá sốt cay;(Banh my with fish cake in spicy sauce);https://viendinhduong.vn/storage/app/uploads/public/2025/04/08/216.PNG;177.5;7.5;4.9;25.8;6.4;52.2;;47.5;1.3;0.2;;;6.5;;;141.2;
395;Bánh cuốn trứng;(Rice mixed egg pancake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/14/banh_cuon_trung.webp;537.6;22.6;28.5;47.7;172.4;426.1;6.3;96.8;4.5;2.7;;491.8;107.3;;;1161.5;
396;Mỳ chờ thập cẩm;(Wheat noodle soup with wonton and pork);https://viendinhduong.vn/storage/app/uploads/public/2025/10/23/my_cho_thap_cam_hp.png;613.0;27.4;21.7;77.0;1103.1;228.8;3.2;163.1;6.7;3.2;639.2;84.3;43.9;;;;
397;Nước ép lựu;(Pomegranate Juice);https://viendinhduong.vn/storage/app/uploads/public/2025/03/26/261-1742976575.PNG;211.8;0.6;1.1;49.9;;813.2;0.4;41.8;0.4;0.3;34.2;;26.6;;;;
398;Nước ép lê;(Pear juice);https://viendinhduong.vn/storage/app/uploads/public/2025/03/26/260-1742976456.PNG;229.2;3.4;1.0;51.8;11.3;424.0;0.3;91.1;11.0;0.6;24.0;;33.6;;;;
399;Bắp xào tép;(Stir-fried maize seeds with small shrimp);https://viendinhduong.vn/storage/app/uploads/public/2025/03/26/263-1742975512.PNG;758.7;11.0;41.1;86.3;89.7;646.5;4.8;98.3;3.5;3.1;50.5;23.6;107.0;;;;0.0
400;Cháo ếch;(Rice congee with frog);https://viendinhduong.vn/storage/app/uploads/public/2025/10/27/chao_ech_hp.png;571.8;66.2;4.4;66.8;102.8;808.5;0.7;150.9;6.5;3.9;1041.0;154.0;89.4;;;;
401;Tiết luộc;Boiled pig blood;https://viendinhduong.vn/storage/app/uploads/public/2025/03/26/265-1742975667.PNG;65.9;11.4;0.2;4.6;113.0;; ;42.9;38.3;0.2;553.4;;24.9;776.1;21.8;553.4;
402;Bánh canh thịt heo;Thick noodle soup with pork;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_38.webp;547;23.7;29.4;46.8;39.4;74.3;;59.8;3.2;1.3;497.8;78.8;;68.5;3.0;497.8;
403;Bánh canh thịt gà;Thick noodle soup with chicken;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_37.webp;337;12.5;11.0;46.8;55.3;105.4;;33.8;1.1;0.7;371.1;36.9;;68.5;4.8;371.1;
404;Bánh canh cá rô;Thick noodle soup with perch;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_36.webp;167;14.9;5.5;15.8;;72.4;;65.0;1.0;0.3;591.0;159.3;;1959.0;18.3;591.0;
405;Salad rau củ;Vegetable salad;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_35.webp;181;2.0;16.0;8.0;;530.0;;56.0;3.0;1.0;137.0;; ;348.0;11.0;137.0;
406;Nộm tai heo thập cẩm;Mixed pork ear salad;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_34.webp;505;44.0;25.0;27.0;0.0;780.0;;317.0;10.0;3.0;1045.0;123.0;;1505.0;20.0;1045.0;
407;Nộm rau muống;Water spinach salad;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_33.webp;230;10.8;15.9;7.7;0.0;897.0;;271.0;3.9;1.1;986.0;0.0;;13994.0;72.9;986.0;
408;Nộm hoa chuối thịt gà;Banana blossom and chicken salad;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_32.webp;604;34.1;29.3;50.1;103.7;1599.0;;329.6;6.6;4.1;263.2;69.1;;3547.1;44.7;263.2;
409;Nem tai;Pork ear salad;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_31.webp;300;28.3;7.5;18.8;0.0;114.0;;43.7;4.7;0.5;617.0;148.0;;0.0;0.0;617.0;
410;Nem lụi;Grilled pork skewers;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_30.webp;382;22.2;25.2;16.7;11.6;642.2;;39.1;3.2;0.6;3025.0;69.4;;85.1;5.6;3025.0;
411;Kiệu muối;Pickled scallions;https://viendinhduong.vn/storage/app/uploads/public/2025/12/19/screenshot_28.webp;12;0.7;;2.4;; ; ;25.0;0.6;;170.0;; ; ;6.2;170.0;
412;Gỏi xoài;Mango salad;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_26.webp;105;1.0;1.0;24.0;0.0;189.0;;56.0;2.0;1.0;411.0;0.0;;1207.0;45.0;411.0;
413;Gỏi ngó sen;Lotus stem salad;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_25.webp;615;35.8;33.8;42.4;18.6;1159.0;;913.0;5.7;1.6;522.6;161.2;;1189.5;90.4;522.6;
414;Bò xíu mại;Beef meatballs;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_19.webp;423;33.0;29.0;7.0;;1069.0;;40.0;7.0;8.0;789.0;106.0;;629.0;66.0;789.0;
415;Bò cuốn lá cải;Beef wrapped in mustard greens;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_18.webp;222;19.7;3.1;28.9;9.4;438.5;;49.6;4.3;2.1;80.0;46.3;;877.8;32.6;80.0;
416;Bánh đa cuốn thập cẩm;Mixed rice paper rolls;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_17.webp;615;42.0;30.2;43.2;369.0;638.0;;141.1;4.7;1.1;166.6;356.6;;4734.0;31.5;166.6;
417;Thịt gà xào sả;Stir-fried chicken with lemongrass;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_15.webp;241;23.2;16.4;0.0;137.0;215.0;;15.0;1.7;1.7;467.0;86.0;; ;5.0;467.0;
418;Thịt trâu xào rau muống;Stir-fried buffalo meat with water spinach;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_14.webp;283;30.6;14.9;2.1;;1369.5;;313.5;7.3;3.3;585.2;40.0;;16791.0;70.0;585.2;
419;Thịt chim câu xào răm;Stir-fried pigeon with Vietnamese coriander;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_13.webp;688;31.1;61.6;2.4;125.6;669.4;;139.0;9.9;3.8;883.7;163.4;;3.0;19.2;883.7;
420;Thịt bò xào su su;Stir-fried beef with chayote;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_12.webp;203;21.9;10.9;4.2;0.0;378.0;;33.0;3.8;3.1;357.0;40.0;;0.0;1.0;357.0;
421;Thịt bò xào nấm;Stir-fried beef with mushrooms;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_11.webp;182;22.5;8.5;3.9;0.0;329.0;;42.4;7.8;1.9;461.0;32.0;;829.0;2.0;461.0;
422;Thịt bò xào măng;Stir-fried beef with bamboo shoots;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_10.webp;158;24.2;3.7;7.0;11.8;1414.0;;63.6;5.4;4.5;1168.4;57.8;;283.5;29.8;1168.4;
423;Thịt bò xào lúc lắc;Shaking beef;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_9.webp;469;47.3;18.3;28.7;0.0;1504.0;;49.0;8.9;5.5;582.0;84.0;;206.2;131.0;582.0;
424;Thịt bò xào hoa thiên lý;Stir-fried beef with Tonkin jasmine flowers;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_8.webp;270;27.1;13.7;9.5;11.8;429.0;;129.3;5.8;2.2;972.2;57.8;;1172.0;99.0;972.2;
425;Thịt bò xào hành tây,cà chua;Stir-fried beef with onions and tomatoes;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_7.webp;;281;23.7;14.1;14.8;;919.0;;72.0;5.6;4.5;491.0;40.0;;394.0;52.0;491.0
426;Thịt bò xào đậu cove;Stir-fried beef with green beans;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_6.webp;162;14.5;5.7;13.3;0.0;424.0;;32.0;2.1;1.0;404.0;18.0;;180.0;25.0;404.0;
427;Thịt bò xào dứa;Stir-fried beef with pineapple;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_5.webp;275;24.8;11.0;19.3;;928.0;;146.0;6.9;2.9;542.0;40.0;;283.0;163.0;542.0;
428;Thịt bò xào cần tỏi;Stir-fried beef with celery and garlic;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_4.webp;216;23.0;11.0;6.6;;586.0;;130.0;6.0;3.0;503.0;40.0;;46.0;50.0;503.0;
429;Sườn xào chua ngọt;Sweet and sour ribs;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_3.webp;289;17.3;16.0;18.8;;691.0;;49.8;3.1;1.2;335.3;56.8;;103.7;66.6;335.3;
430;Rau muống xào;Stir-fried water spinach;https://viendinhduong.vn/storage/app/uploads/public/2025/12/17/screenshot_1.webp;177;10.2;11.2;4.5;; ; ;303.9;4.4;1.1;; ; ;1679.0;70.0;;
431;Rau khoai lang xào tỏi;Stir-fried sweet potato leaves with garlic;https://viendinhduong.vn/storage/app/uploads/public/2025/12/12/screenshot_293.webp;114;4.0;8.0;6.5;;688.0;;68.8;3.7;0.1;404.2;; ;2379.0;15.3;404.2;
432;Rau cải xoong xào tỏi;Stir-fried watercress with garlic;https://viendinhduong.vn/storage/app/uploads/public/2025/12/12/screenshot_292.webp;83;5.4;5.2;3.6;;569.2;;179.0;4.1;2.0;997.3;; ;191.0;25.0;997.3;
433;Rau cải ngồng xào tỏi;Stir-fried broccoli stems with garlic;https://viendinhduong.vn/storage/app/uploads/public/2025/12/12/screenshot_291.webp;122;5.8;5.0;13.3;;760.9;;184.0;2.7;2.8;493.1;; ;9383.5;92.5;493.1;
434;Rau cải chíp xào nấm;Stir-fried bok choy with mushrooms;https://viendinhduong.vn/storage/app/uploads/public/2025/12/12/screenshot_289.webp;216;14.3;11.7;13.6;;500.0;;181.7;12.3;1.9;452.5;; ;2681.0;26.0;452.5;
